Rk	Player	Age	Team	Pos	G	GS	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS	Awards
421.0	DeAndre Jordan	36.0	DEN	C	16.0	0.0	168.0	4.5	7.1	0.636	0.0	0.0		4.5	7.1	0.636	0.636	0.4	1.7	0.25	3.2	10.1	13.3	3.0	1.1	1.3	2.6	4.1	9.4	
422.0	Dean Wade	28.0	CLE	PF	21.0	12.0	464.0	3.1	8.1	0.381	2.4	7.0	0.344	0.7	1.2	0.6	0.529	0.7	1.6	0.429	1.3	6.5	7.8	2.3	1.8	0.6	0.4	2.4	9.3	
423.0	Cory Joseph	33.0	ORL	PG	16.0	0.0	86.0	3.3	9.6	0.348	2.5	7.1	0.353	0.8	2.5	0.333	0.478	0.0	0.0		1.7	4.6	6.3	5.0	1.7	0.8	1.7	2.5	9.2	
424.0	Cason Wallace	21.0	OKC	SG	28.0	16.0	739.0	3.8	8.8	0.431	1.3	4.3	0.307	2.5	4.5	0.548	0.506	0.3	0.3	0.857	1.7	3.2	4.9	3.1	2.2	1.1	0.8	2.8	9.2	
425.0	Oso Ighodaro	22.0	PHO	PF	23.0	2.0	360.0	4.0	6.4	0.625	0.0	0.0		4.0	6.4	0.625	0.625	1.1	1.7	0.647	2.3	6.2	8.5	2.0	0.9	0.7	1.2	3.7	9.1	
426.0	Kai Jones	24.0	LAC	C	20.0	0.0	154.0	3.5	4.7	0.75	0.0	0.0		3.5	4.7	0.75	0.75	2.1	2.8	0.75	2.8	5.1	7.9	1.9	1.4	2.1	1.9	4.4	9.1	
427.0	Davion Mitchell	26.0	TOR	PG	28.0	13.0	735.0	3.4	8.5	0.402	1.2	4.1	0.301	2.2	4.5	0.495	0.474	1.0	1.5	0.677	0.7	2.3	3.0	6.8	1.1	0.3	2.6	3.9	9.1	
428.0	Zeke Nnaji	24.0	DEN	PF	17.0	0.0	83.0	4.3	10.4	0.417	0.0	3.9	0.0	4.3	6.5	0.667	0.417	0.4	2.2	0.2	0.9	2.2	3.0	1.7	0.4	0.9	0.9	3.0	9.1	
429.0	Dominick Barlow	21.0	ATL	SF	3.0	0.0	16.0	2.3	4.5	0.5	2.3	2.3	1.0	0.0	2.3	0.0	0.75	2.3	4.5	0.5	0.0	2.3	2.3	0.0	2.3	0.0	0.0	4.5	9.0	
430.0	JD Davison	22.0	BOS	PG	5.0	0.0	24.0	3.0	7.5	0.4	1.5	4.5	0.333	1.5	3.0	0.5	0.5	1.5	3.0	0.5	0.0	3.0	3.0	1.5	1.5	0.0	9.0	1.5	9.0	
431.0	Tidjane Salaün	19.0	CHO	PF	25.0	8.0	476.0	3.0	9.6	0.315	1.8	6.4	0.286	1.2	3.3	0.372	0.409	1.1	1.7	0.682	2.0	5.9	7.9	2.2	1.1	0.4	1.6	2.6	9.0	
432.0	Dario Šarić	30.0	DEN	C	10.0	3.0	136.0	3.2	10.6	0.3	1.3	5.0	0.263	1.9	5.6	0.333	0.363	1.3	1.6	0.833	2.4	6.9	9.3	2.9	1.6	0.0	2.9	3.7	9.0	
433.0	Drew Peterson	25.0	BOS	PF	7.0	0.0	81.0	2.2	6.7	0.333	1.8	5.8	0.308	0.4	0.9	0.5	0.467	2.7	3.1	0.857	1.8	5.3	7.1	1.8	0.9	0.9	1.3	3.1	8.9	
434.0	Daniel Theis	32.0	NOP	C	20.0	7.0	284.0	3.4	8.0	0.429	0.6	2.4	0.263	2.8	5.6	0.5	0.468	1.4	1.6	0.846	2.2	6.3	8.5	3.3	0.9	1.5	1.5	4.4	8.9	
435.0	Steven Adams	31.0	HOU	C	16.0	0.0	172.0	3.3	5.4	0.615	0.0	0.0		3.3	5.4	0.615	0.615	2.1	5.4	0.385	5.7	6.9	12.6	3.8	0.8	0.6	4.2	3.8	8.8	
436.0	Taj Gibson	39.0	CHO	C	14.0	8.0	151.0	3.8	8.1	0.471	0.2	0.5	0.5	3.6	7.6	0.469	0.485	1.0	1.4	0.667	5.0	5.7	10.7	1.7	1.4	0.7	2.1	4.3	8.8	
437.0	Gary Harris	30.0	ORL	SG	17.0	2.0	282.0	3.1	7.7	0.4	2.2	5.9	0.37	0.9	1.8	0.5	0.542	0.5	0.8	0.667	1.1	1.8	2.9	0.9	1.1	0.6	0.9	1.7	8.8	
438.0	Mason Plumlee	34.0	PHO	C	28.0	7.0	472.0	3.3	5.9	0.558	0.0	0.1	0.0	3.3	5.8	0.566	0.558	2.2	3.7	0.592	3.3	9.3	12.6	3.5	0.7	1.5	1.8	4.2	8.8	
439.0	Micah Potter	26.0	UTA	C	8.0	2.0	147.0	3.2	6.9	0.464	2.4	5.6	0.435	0.7	1.2	0.6	0.643	0.0	0.0		3.4	7.8	11.3	2.2	0.5	1.0	1.5	2.0	8.8	
440.0	Ben Simmons	28.0	BRK	PG	23.0	17.0	569.0	3.9	6.7	0.575	0.0	0.0		3.9	6.7	0.575	0.575	0.9	1.3	0.714	1.3	6.5	7.8	9.9	1.3	0.8	4.0	3.4	8.7	
441.0	Markieff Morris	35.0	DAL	PF	4.0	0.0	21.0	3.4	15.4	0.222	1.7	5.1	0.333	1.7	10.3	0.167	0.278	0.0	0.0		0.0	8.6	8.6	3.4	0.0	1.7	3.4	0.0	8.6	
442.0	Adem Bona	21.0	PHI	C	15.0	0.0	102.0	3.2	4.9	0.643	0.0	0.0		3.2	4.9	0.643	0.643	2.1	2.5	0.857	3.2	6.4	9.5	0.4	0.0	2.1	2.1	5.6	8.5	
443.0	Dwight Powell	33.0	DAL	C	23.0	0.0	169.0	2.3	2.8	0.846	0.2	0.2	1.0	2.1	2.6	0.833	0.885	3.6	5.5	0.654	2.8	5.1	7.9	2.8	1.7	1.9	1.1	6.0	8.5	
444.0	Jaden Springer	22.0	BOS	SG	10.0	0.0	43.0	2.5	9.2	0.273	0.0	2.5	0.0	2.5	6.7	0.375	0.273	3.3	5.9	0.571	3.3	6.7	10.0	2.5	2.5	0.0	0.8	3.3	8.4	
445.0	Pacome Dadiet	19.0	NYK	SG	12.0	0.0	82.0	2.6	8.8	0.3	2.2	6.1	0.357	0.4	2.6	0.167	0.425	0.9	0.9	1.0	0.0	5.7	5.7	2.2	0.4	0.9	0.4	2.2	8.3	
446.0	Patty Mills	36.0	UTA	PG	9.0	0.0	138.0	2.9	8.1	0.355	1.8	6.3	0.292	1.0	1.8	0.571	0.468	0.8	0.8	1.0	0.3	1.8	2.1	3.4	1.6	0.5	2.1	2.1	8.3	
447.0	Gabe Vincent	28.0	LAL	PG	30.0	4.0	579.0	3.1	8.3	0.376	1.8	5.4	0.333	1.3	2.9	0.457	0.485	0.2	0.5	0.5	0.6	1.9	2.5	1.8	1.5	0.3	1.1	3.7	8.3	
448.0	Trey Jemison	25.0	NOP	C	16.0	0.0	166.0	3.3	6.9	0.469	0.0	0.0		3.3	6.9	0.469	0.469	1.7	4.6	0.381	4.8	4.8	9.5	2.2	1.5	1.3	2.2	5.9	8.2	
449.0	Tre Jones	25.0	SAS	PG	12.0	0.0	202.0	2.9	7.0	0.41	0.5	2.3	0.231	2.3	4.6	0.5	0.449	2.0	2.7	0.733	0.9	3.2	4.1	8.4	1.6	0.7	1.2	2.9	8.2	
450.0	Kyle Lowry	38.0	PHI	PG	21.0	10.0	427.0	2.4	6.7	0.367	1.8	5.0	0.356	0.7	1.7	0.4	0.5	1.5	1.9	0.783	0.6	2.8	3.4	4.9	1.6	0.6	1.2	3.5	8.2	
451.0	Jae Crowder	34.0	SAC	SF	6.0	2.0	89.0	2.4	6.9	0.353	1.2	4.9	0.25	1.2	2.0	0.6	0.441	2.0	2.4	0.833	2.4	4.4	6.9	1.6	1.2	0.0	1.6	4.0	8.1	
452.0	Reece Beekman	23.0	2TM	PG	4.0	0.0	9.0	4.0	4.0	1.0	0.0	0.0		4.0	4.0	1.0	1.0	0.0	0.0		4.0	0.0	4.0	4.0	4.0	0.0	4.0	4.0	8.0	
452.0	Reece Beekman	23.0	GSW	PG	2.0	0.0	4.0	9.0	9.0	1.0	0.0	0.0		9.0	9.0	1.0	1.0	0.0	0.0		9.0	0.0	9.0	9.0	9.0	0.0	0.0	9.0	18.0	
452.0	Reece Beekman	23.0	BRK	PG	2.0	0.0	5.0	0.0	0.0		0.0	0.0		0.0	0.0			0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	7.2	0.0	0.0	
453.0	Branden Carlson	25.0	OKC	C	5.0	0.0	18.0	2.0	14.0	0.143	0.0	10.0	0.0	2.0	4.0	0.5	0.143	4.0	4.0	1.0	6.0	10.0	16.0	4.0	2.0	2.0	0.0	2.0	8.0	
454.0	Ulrich Chomche	19.0	TOR	PF	2.0	0.0	9.0	4.0	4.0	1.0	0.0	0.0		4.0	4.0	1.0	1.0	0.0	0.0		0.0	8.0	8.0	0.0	0.0	0.0	4.0	4.0	8.0	
455.0	Ariel Hukporti	22.0	NYK	C	12.0	0.0	99.0	3.3	5.1	0.643	0.0	0.0		3.3	5.1	0.643	0.643	1.5	2.9	0.5	1.5	6.5	8.0	2.2	0.0	2.9	3.6	5.1	8.0	
456.0	Bronny James	20.0	LAL	SG	7.0	0.0	18.0	2.0	16.0	0.125	0.0	8.0	0.0	2.0	8.0	0.25	0.125	4.0	4.0	1.0	2.0	0.0	2.0	4.0	2.0	2.0	0.0	4.0	8.0	
457.0	Caleb Houstan	22.0	ORL	SF	19.0	0.0	111.0	2.6	9.4	0.276	1.9	7.8	0.25	0.6	1.6	0.4	0.379	0.6	0.6	1.0	0.6	2.3	2.9	0.6	0.0	0.6	0.3	1.9	7.8	
458.0	Josh Richardson	31.0	MIA	SG	8.0	0.0	150.0	2.6	9.1	0.289	1.4	5.3	0.273	1.2	3.8	0.313	0.368	1.0	1.0	1.0	1.4	1.4	2.9	2.9	1.9	0.2	1.9	4.1	7.7	
459.0	Enrique Freeman	24.0	IND	PF	16.0	1.0	113.0	2.9	6.1	0.474	0.3	1.6	0.2	2.5	4.5	0.571	0.5	1.6	2.9	0.556	1.0	2.9	3.8	1.9	0.6	0.6	1.3	4.8	7.6	
460.0	John Konchar	28.0	MEM	SG	15.0	0.0	181.0	2.6	5.4	0.481	1.8	4.6	0.391	0.8	0.8	1.0	0.648	0.6	0.8	0.75	2.4	5.6	8.0	3.2	1.6	1.2	1.4	2.6	7.6	
461.0	Vit Krejci	24.0	ATL	PG	16.0	1.0	201.0	2.7	8.1	0.333	0.9	4.5	0.2	1.8	3.6	0.5	0.389	1.3	2.0	0.636	1.3	3.8	5.0	4.3	1.4	0.7	2.3	4.8	7.5	
462.0	Colby Jones	22.0	SAC	SG	19.0	0.0	107.0	3.0	7.7	0.391	1.3	3.0	0.444	1.7	4.7	0.357	0.478	0.0	0.0		2.0	4.4	6.4	1.3	1.7	1.7	2.0	3.7	7.4	
463.0	Moussa Diabaté	23.0	CHO	C	27.0	4.0	509.0	3.3	5.2	0.622	0.0	0.0		3.3	5.2	0.622	0.622	0.8	1.8	0.44	6.4	7.4	13.9	1.3	1.2	1.6	1.7	3.5	7.3	
464.0	Alex Len	31.0	SAC	C	22.0	2.0	143.0	3.3	6.0	0.542	0.0	1.0	0.0	3.3	5.0	0.65	0.542	0.8	1.8	0.429	2.5	6.3	8.8	4.3	0.8	3.0	1.5	4.3	7.3	
465.0	Nicolas Batum	36.0	LAC	PF	30.0	1.0	553.0	2.3	6.1	0.387	1.9	4.9	0.387	0.5	1.2	0.389	0.543	0.7	0.8	0.769	1.3	4.0	5.3	3.1	1.0	0.8	1.0	2.7	7.2	
466.0	PJ Dozier	28.0	MIN	SG	9.0	0.0	35.0	2.1	3.1	0.667	2.1	3.1	0.667	0.0	0.0		1.0	1.0	6.2	0.167	1.0	4.1	5.1	5.1	1.0	0.0	1.0	3.1	7.2	
467.0	Gui Santos	22.0	GSW	PF	7.0	0.0	30.0	2.4	6.0	0.4	1.2	3.6	0.333	1.2	2.4	0.5	0.5	1.2	2.4	0.5	2.4	6.0	8.4	2.4	0.0	1.2	2.4	4.8	7.2	
468.0	Andre Jackson Jr.	23.0	MIL	SG	27.0	19.0	489.0	2.7	7.0	0.389	1.3	3.7	0.36	1.4	3.3	0.422	0.484	0.4	0.7	0.5	1.8	4.6	6.5	3.0	1.4	0.5	2.5	4.9	7.1	
469.0	Armel Traoré	22.0	LAL	SF	8.0	0.0	61.0	3.0	10.6	0.278	0.0	4.1	0.0	3.0	6.5	0.455	0.278	1.2	4.1	0.286	0.6	7.7	8.3	0.6	2.4	1.2	1.2	3.5	7.1	
470.0	Cam Reddish	25.0	LAL	SF	23.0	8.0	450.0	2.6	5.4	0.478	0.9	2.8	0.314	1.7	2.6	0.656	0.56	1.0	1.5	0.684	1.0	2.9	3.8	1.4	2.2	0.7	1.0	3.1	7.0	
471.0	Luke Travers	23.0	CLE	SG	6.0	0.0	42.0	2.6	6.0	0.429	0.0	2.6	0.0	2.6	3.4	0.75	0.429	1.7	1.7	1.0	0.9	4.3	5.1	4.3	0.9	0.9	1.7	2.6	6.9	
