Rk	G	2006 Playoffs	Series	Tm	Unnamed: 5	Opp	G#	Unnamed: 8	GS	MP	FG	FGA	FG%	3P	3PA	3P%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS	GmSc	+/-
1	1	2006-04-22	EC1	CLE		WAS	1	W (+11)	1	48:00	12	27	.444	1	4	.250	7	11	.636	3	8	11	11	0	0	4	3	32	23.3	+11
2	2	2006-04-25	EC1	CLE		WAS	2	L (-5)	1	43:28	7	25	.280	1	6	.167	11	15	.733	2	7	9	2	2	3	10	5	26	6.7	-2
3	3	2006-04-28	EC1	CLE	@	WAS	3	W (+1)	1	47:37	16	28	.571	3	5	.600	6	9	.667	1	4	5	3	2	0	4	3	41	27.4	+1
4	4	2006-04-30	EC1	CLE	@	WAS	4	L (-10)	1	45:20	13	23	.565	7	12	.583	5	7	.714	1	5	6	5	0	0	7	5	38	23.0	-16
5	5	2006-05-03	EC1	CLE		WAS	5	W (+1)	1	46:07	14	23	.609	0	1	.000	17	18	.944	5	2	7	6	2	0	4	5	45	38.4	-4
6	6	2006-05-05	EC1	CLE	@	WAS	6	W (+1)	1	53:00	15	25	.600	1	6	.167	1	3	.333	0	7	7	7	2	1	5	4	32	22.8	+1
																														
7	7	2006-05-07	ECS	CLE	@	DET	1	L (-27)	1	36:00	9	18	.500	2	5	.400	2	2	1.000	1	3	4	4	0	0	4	3	22	12.2	-31
8	8	2006-05-09	ECS	CLE	@	DET	2	L (-6)	1	47:32	11	23	.478	2	5	.400	6	8	.750	2	12	14	7	0	0	3	4	30	22.8	-4
9	9	2006-05-13	ECS	CLE		DET	3	W (+9)	1	48:00	9	18	.500	1	4	.250	2	2	1.000	0	10	10	10	4	1	4	2	21	21.9	+9
10	10	2006-05-15	ECS	CLE		DET	4	W (+2)	1	48:00	8	23	.348	1	2	.500	5	10	.500	1	7	8	9	2	2	8	3	22	10.4	+2
11	11	2006-05-17	ECS	CLE	@	DET	5	W (+2)	1	46:50	13	30	.433	1	4	.250	5	7	.714	3	2	5	5	2	1	2	3	32	21.1	+2
12	12	2006-05-19	ECS	CLE		DET	6	L (-2)	1	47:50	8	20	.400	1	5	.200	15	18	.833	0	11	11	5	1	1	7	2	32	20.7	-2
13	13	2006-05-21	ECS	CLE	@	DET	7	L (-18)	1	46:45	11	24	.458	0	4	.000	5	8	.625	3	5	8	2	1	0	3	2	27	15.6	-16
Rk	G	2007 Playoffs	Series	Tm		Opp	G#		GS	MP	FG	FGA	FG%	3P	3PA	3P%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS	GmSc	+/-
14	1	2007-04-22	EC1	CLE		WAS	1	W (+15)	1	44:19	7	14	.500	0	2	.000	9	11	.818	2	7	9	7	2	0	1	1	23	24.2	+17
15	2	2007-04-25	EC1	CLE		WAS	2	W (+7)	1	45:00	8	22	.364	0	3	.000	11	13	.846	4	4	8	7	1	2	2	2	27	22.5	+12
16	3	2007-04-28	EC1	CLE	@	WAS	3	W (+6)	1	46:02	11	22	.500	3	5	.600	5	7	.714	0	6	6	9	1	0	2	3	30	24.1	+6
17	4	2007-04-30	EC1	CLE	@	WAS	4	W (+7)	1	46:11	8	22	.364	1	5	.200	14	17	.824	3	8	11	7	3	1	2	3	31	27.5	+12
																														
18	5	2007-05-06	ECS	CLE		NJN	1	W (+4)	1	46:01	8	21	.381	1	4	.250	4	6	.667	2	9	11	7	1	1	3	2	21	15.6	+6
19	6	2007-05-08	ECS	CLE		NJN	2	W (+10)	1	45:49	12	24	.500	3	7	.429	9	13	.692	0	1	1	12	3	0	2	2	36	31.3	+8
20	7	2007-05-12	ECS	CLE	@	NJN	3	L (-11)	1	44:08	5	16	.313	1	5	.200	7	7	1.000	0	6	6	12	0	0	2	2	18	16.2	-12
21	8	2007-05-14	ECS	CLE	@	NJN	4	W (+2)	1	46:20	9	16	.563	2	3	.667	10	15	.667	0	9	9	7	0	0	3	1	30	24.6	+9
22	9	2007-05-16	ECS	CLE		NJN	5	L (-11)	1	42:47	5	14	.357	0	2	.000	10	11	.909	3	6	9	5	2	1	5	4	20	15.3	-15
23	10	2007-05-18	ECS	CLE	@	NJN	6	W (+16)	1	38:53	8	20	.400	1	5	.200	6	9	.667	1	7	8	8	1	0	2	4	23	16.8	+26
																														
24	11	2007-05-21	ECF	CLE	@	DET	1	L (-3)	1	45:22	5	15	.333	0	0		0	0		1	9	10	9	4	1	2	1	10	13.5	-5
25	12	2007-05-24	ECF	CLE	@	DET	2	L (-3)	1	44:41	7	19	.368	0	1	.000	5	7	.714	0	6	6	7	3	0	6	1	19	11.0	-6
26	13	2007-05-27	ECF	CLE		DET	3	W (+6)	1	46:07	12	21	.571	2	3	.667	6	9	.667	1	8	9	9	2	0	3	2	32	28.5	+6
27	14	2007-05-29	ECF	CLE		DET	4	W (+4)	1	44:17	8	19	.421	1	5	.200	8	9	.889	0	7	7	11	3	0	3	0	25	24.3	-4
28	15	2007-05-31	ECF	CLE	@	DET	5	W (+2)	1	50:18	18	33	.545	2	3	.667	10	14	.714	3	6	9	7	2	0	2	3	48	38.1	+2
29	16	2007-06-02	ECF	CLE		DET	6	W (+16)	1	46:12	3	11	.273	0	2	.000	14	19	.737	2	12	14	8	2	2	3	1	20	22.1	+13
																														
30	17	2007-06-07	FIN	CLE	@	SAS	1	L (-9)	1	44:00	4	16	.250	2	6	.333	4	4	1.000	1	6	7	4	1	1	6	1	14	5.0	-5
31	18	2007-06-10	FIN	CLE	@	SAS	2	L (-11)	1	38:00	9	21	.429	0	2	.000	7	11	.636	3	4	7	6	1	0	6	3	25	13.6	-5
32	19	2007-06-12	FIN	CLE		SAS	3	L (-3)	1	41:59	9	23	.391	0	5	.000	7	8	.875	0	8	8	7	2	1	5	3	25	15.9	+4
33	20	2007-06-14	FIN	CLE		SAS	4	L (-1)	1	46:29	10	30	.333	2	7	.286	2	6	.333	0	6	6	10	0	0	6	1	24	7.8	+2
Rk	G	2008 Playoffs	Series	Tm		Opp	G#		GS	MP	FG	FGA	FG%	3P	3PA	3P%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS	GmSc	+/-
34	1	2008-04-19	EC1	CLE		WAS	1	W (+7)	1	41:25	12	19	.632	0	2	.000	8	14	.571	0	6	6	4	1	2	1	1	32	26.7	+9
35	2	2008-04-21	EC1	CLE		WAS	2	W (+30)	1	39:00	9	19	.474	2	6	.333	10	17	.588	1	8	9	12	1	2	1	2	30	29.6	+34
36	3	2008-04-24	EC1	CLE	@	WAS	3	L (-36)	1	35:57	10	19	.526	0	4	.000	2	4	.500	0	7	7	3	1	1	4	3	22	12.6	-24
37	4	2008-04-27	EC1	CLE	@	WAS	4	W (+3)	1	44:23	11	25	.440	3	8	.375	9	14	.643	2	10	12	7	2	0	5	5	34	23.2	+3
38	5	2008-04-30	EC1	CLE		WAS	5	L (-1)	1	44:05	8	21	.381	3	9	.333	15	18	.833	2	8	10	7	1	2	5	0	34	27.4	-3
39	6	2008-05-02	EC1	CLE	@	WAS	6	W (+17)	1	44:12	8	17	.471	1	2	.500	10	10	1.000	2	11	13	13	2	1	1	2	27	33.0	+26
																														
40	7	2008-05-06	ECS	CLE	@	BOS	1	L (-4)	1	38:49	2	18	.111	0	6	.000	8	10	.800	2	7	9	9	1	1	10	4	12	-0.7	-7
41	8	2008-05-08	ECS	CLE	@	BOS	2	L (-16)	1	41:38	6	24	.250	0	4	.000	9	13	.692	2	3	5	6	2	1	7	1	21	6.8	-15
42	9	2008-05-10	ECS	CLE		BOS	3	W (+24)	1	40:15	5	16	.313	3	5	.600	8	12	.667	0	5	5	8	4	3	2	3	21	20.2	+29
43	10	2008-05-12	ECS	CLE		BOS	4	W (+11)	1	44:00	7	20	.350	2	5	.400	5	8	.625	1	5	6	13	3	2	4	3	21	19.1	+15
44	11	2008-05-14	ECS	CLE	@	BOS	5	L (-7)	1	44:43	12	25	.480	0	5	.000	11	13	.846	0	3	3	5	1	1	4	3	35	22.4	-8
45	12	2008-05-16	ECS	CLE		BOS	6	W (+5)	1	46:39	9	23	.391	1	3	.333	13	15	.867	3	9	12	6	2	1	8	2	32	21.6	+7
46	13	2008-05-18	ECS	CLE	@	BOS	7	L (-5)	1	46:48	14	29	.483	3	11	.273	14	19	.737	1	4	5	6	2	0	2	4	45	32.8	0
Rk	G	2009 Playoffs	Series	Tm		Opp	G#		GS	MP	FG	FGA	FG%	3P	3PA	3P%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS	GmSc	+/-
47	1	2009-04-18	EC1	CLE		DET	1	W (+18)	1	40:52	13	20	.650	1	4	.250	11	14	.786	0	8	8	7	1	0	0	1	38	35.9	+22
48	2	2009-04-21	EC1	CLE		DET	2	W (+12)	1	37:55	7	14	.500	2	5	.400	13	17	.765	1	12	13	6	0	0	2	1	29	26.5	+21
49	3	2009-04-24	EC1	CLE	@	DET	3	W (+11)	1	42:44	9	19	.474	0	5	.000	7	11	.636	2	9	11	9	3	2	2	0	25	26.5	+13
50	4	2009-04-26	EC1	CLE	@	DET	4	W (+21)	1	40:39	10	24	.417	0	3	.000	16	17	.941	1	12	13	8	2	1	2	3	36	32.2	+10
																														
51	5	2009-05-05	ECS	CLE		ATL	1	W (+27)	1	34:19	12	20	.600	2	6	.333	8	9	.889	3	7	10	3	4	0	3	0	34	31.7	+13
52	6	2009-05-07	ECS	CLE		ATL	2	W (+20)	1	31:10	9	14	.643	3	5	.600	6	12	.500	0	3	3	5	4	1	0	1	27	27.1	+23
53	7	2009-05-09	ECS	CLE	@	ATL	3	W (+15)	1	43:14	15	25	.600	5	10	.500	12	16	.750	2	10	12	8	1	1	1	2	47	43.8	+26
54	8	2009-05-11	ECS	CLE	@	ATL	4	W (+10)	1	43:25	9	22	.409	3	6	.500	6	9	.667	0	8	8	8	1	0	3	3	27	18.8	+1
																														
55	9	2009-05-20	ECF	CLE		ORL	1	L (-1)	1	41:14	20	30	.667	3	6	.500	6	10	.600	3	3	6	8	2	3	2	1	49	44.7	+7
56	10	2009-05-22	ECF	CLE		ORL	2	W (+1)	1	42:32	12	23	.522	1	3	.333	10	12	.833	2	2	4	5	1	0	6	3	35	22.2	-7
57	11	2009-05-24	ECF	CLE	@	ORL	3	L (-10)	1	41:57	11	28	.393	1	8	.125	18	24	.750	0	7	7	9	2	1	2	3	41	31.3	-12
58	12	2009-05-26	ECF	CLE	@	ORL	4	L (-2)	1	49:24	13	29	.448	4	10	.400	14	18	.778	1	11	12	7	1	1	8	5	44	27.9	+6
59	13	2009-05-28	ECF	CLE		ORL	5	W (+10)	1	45:30	11	24	.458	0	2	.000	15	19	.789	3	11	14	12	1	1	4	3	37	33.3	+11
60	14	2009-05-30	ECF	CLE	@	ORL	6	L (-13)	1	44:53	8	20	.400	2	8	.250	7	11	.636	1	6	7	7	0	1	3	4	25	16.1	-12
Rk	G	2010 Playoffs	Series	Tm		Opp	G#		GS	MP	FG	FGA	FG%	3P	3PA	3P%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS	GmSc	+/-
61	1	2010-04-17	EC1	CLE		CHI	1	W (+13)	1	40:14	9	19	.474	0	1	.000	6	7	.857	0	6	6	5	1	4	3	2	24	19.2	+19
62	2	2010-04-19	EC1	CLE		CHI	2	W (+10)	1	41:05	16	23	.696	2	4	.500	6	6	1.000	1	7	8	8	1	2	2	2	40	38.3	+6
63	3	2010-04-22	EC1	CLE	@	CHI	3	L (-2)	1	44:16	14	26	.538	4	8	.500	7	13	.538	2	8	10	8	2	3	5	3	39	31.3	+5
64	4	2010-04-25	EC1	CLE	@	CHI	4	W (+23)	1	36:24	11	17	.647	6	9	.667	9	10	.900	0	12	12	11	2	1	2	3	37	39.9	+29
65	5	2010-04-27	EC1	CLE		CHI	5	W (+2)	1	43:13	5	12	.417	1	2	.500	8	14	.571	3	7	10	9	0	2	3	1	19	18.7	+1
																														
66	6	2010-05-01	ECS	CLE		BOS	1	W (+8)	1	43:12	12	24	.500	3	6	.500	8	11	.727	2	5	7	7	3	2	2	1	35	31.6	+7
67	7	2010-05-03	ECS	CLE		BOS	2	L (-18)	1	41:09	7	15	.467	0	4	.000	10	15	.667	0	7	7	4	3	2	5	1	24	18.2	-16
68	8	2010-05-07	ECS	CLE	@	BOS	3	W (+29)	1	39:16	14	22	.636	2	3	.667	8	9	.889	2	6	8	7	1	2	1	1	38	36.9	+30
69	9	2010-05-09	ECS	CLE	@	BOS	4	L (-10)	1	43:14	7	18	.389	0	5	.000	8	11	.727	1	8	9	8	2	1	7	4	22	13.8	-10
70	10	2010-05-11	ECS	CLE		BOS	5	L (-32)	1	41:40	3	14	.214	0	4	.000	9	12	.750	1	5	6	7	1	0	3	3	15	9.1	-22
71	11	2010-05-13	ECS	CLE	@	BOS	6	L (-9)	1	46:12	8	21	.381	2	4	.500	9	12	.750	3	16	19	10	3	1	9	2	27	22.1	-5
Rk	G	2011 Playoffs	Series	Tm		Opp	G#		GS	MP	FG	FGA	FG%	3P	3PA	3P%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS	GmSc	+/-
72	1	2011-04-16	EC1	MIA		PHI	1	W (+8)	1	42:43	4	14	.286	0	2	.000	13	14	.929	4	10	14	5	1	3	2	3	21	21.6	+4
73	2	2011-04-18	EC1	MIA		PHI	2	W (+21)	1	38:55	10	19	.526	1	1	1.000	8	10	.800	1	6	7	6	0	0	0	1	29	25.2	+24
74	3	2011-04-21	EC1	MIA	@	PHI	3	W (+6)	1	44:16	8	15	.533	1	4	.250	7	10	.700	1	14	15	6	1	0	1	1	24	24.2	+8
75	4	2011-04-24	EC1	MIA	@	PHI	4	L (-4)	1	43:33	11	20	.550	0	4	.000	9	11	.818	2	5	7	6	1	1	1	2	31	27.6	-4
76	5	2011-04-27	EC1	MIA		PHI	5	W (+6)	1	41:40	5	13	.385	2	5	.400	4	5	.800	3	7	10	8	1	0	3	2	16	15.5	+5
																														
77	6	2011-05-01	ECS	MIA		BOS	1	W (+9)	1	39:54	8	19	.421	1	3	.333	5	9	.556	1	5	6	5	2	2	3	2	22	15.6	+1
78	7	2011-05-03	ECS	MIA		BOS	2	W (+11)	1	44:03	14	25	.560	2	4	.500	5	8	.625	2	5	7	2	1	1	0	3	35	26.7	+10
79	8	2011-05-07	ECS	MIA	@	BOS	3	L (-16)	1	42:48	6	16	.375	0	3	.000	3	7	.429	2	5	7	4	2	5	4	3	15	10.6	-21
80	9	2011-05-09	ECS	MIA	@	BOS	4	W (+8)	1	50:17	12	28	.429	2	6	.333	9	9	1.000	3	11	14	3	3	0	5	3	35	24.5	+7
81	10	2011-05-11	ECS	MIA		BOS	5	W (+10)	1	45:43	11	20	.550	5	7	.714	6	9	.667	2	5	7	4	1	1	5	1	33	24.2	+14
																														
82	11	2011-05-15	ECF	MIA	@	CHI	1	L (-21)	1	41:12	5	15	.333	1	3	.333	4	4	1.000	1	5	6	6	2	3	4	2	15	12.2	-14
83	12	2011-05-18	ECF	MIA	@	CHI	2	W (+10)	1	45:39	12	21	.571	2	6	.333	3	7	.429	3	7	10	5	3	0	5	3	29	22.0	+8
84	13	2011-05-22	ECF	MIA		CHI	3	W (+11)	1	43:55	6	13	.462	1	2	.500	9	9	1.000	1	5	6	10	2	2	0	4	22	26.3	+16
85	14	2011-05-24	ECF	MIA		CHI	4	W (+8)	1	49:23	11	26	.423	0	1	.000	13	13	1.000	2	4	6	6	2	2	5	4	35	24.8	-1
86	15	2011-05-26	ECF	MIA	@	CHI	5	W (+3)	1	45:46	8	19	.421	3	6	.500	9	11	.818	0	11	11	6	3	2	4	2	28	24.2	+8
																														
87	16	2011-05-31	FIN	MIA		DAL	1	W (+8)	1	45:15	9	16	.563	4	5	.800	2	2	1.000	0	9	9	5	1	0	1	4	24	21.0	+9
88	17	2011-06-02	FIN	MIA		DAL	2	L (-2)	1	39:37	8	15	.533	2	7	.286	2	4	.500	1	7	8	4	4	1	5	4	20	15.6	-5
89	18	2011-06-05	FIN	MIA	@	DAL	3	W (+2)	1	45:15	6	14	.429	1	4	.250	4	4	1.000	0	3	3	9	2	0	4	3	17	13.6	+1
90	19	2011-06-07	FIN	MIA	@	DAL	4	L (-3)	1	45:43	3	11	.273	0	3	.000	2	4	.500	3	6	9	7	2	0	4	4	8	5.9	-6
91	20	2011-06-09	FIN	MIA	@	DAL	5	L (-9)	1	45:38	8	19	.421	0	4	.000	1	2	.500	1	9	10	10	0	1	4	3	17	12.4	-11
92	21	2011-06-12	FIN	MIA		DAL	6	L (-10)	1	40:21	9	15	.600	2	5	.400	1	4	.250	1	3	4	6	1	1	6	2	21	13.6	-24
Rk	G	2012 Playoffs	Series	Tm		Opp	G#		GS	MP	FG	FGA	FG%	3P	3PA	3P%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS	GmSc	+/-
93	1	2012-04-28	EC1	MIA		NYK	1	W (+33)	1	31:41	10	14	.714	1	1	1.000	11	14	.786	1	3	4	3	4	0	2	2	32	29.9	+35
94	2	2012-04-30	EC1	MIA		NYK	2	W (+10)	1	40:35	8	18	.444	0	3	.000	3	7	.429	1	6	7	9	2	0	2	1	19	16.4	+10
95	3	2012-05-03	EC1	MIA	@	NYK	3	W (+17)	1	35:50	9	21	.429	2	5	.400	12	13	.923	2	6	8	5	2	0	8	5	32	19.2	+23
96	4	2012-05-06	EC1	MIA	@	NYK	4	L (-2)	1	41:27	9	21	.429	2	5	.400	7	8	.875	0	4	4	4	1	0	5	4	27	13.9	-7
97	5	2012-05-09	EC1	MIA		NYK	5	W (+12)	1	39:38	7	16	.438	2	6	.333	13	15	.867	1	7	8	7	2	1	4	2	29	25.4	+6
																														
98	6	2012-05-13	ECS	MIA		IND	1	W (+9)	1	43:15	12	26	.462	0	3	.000	8	10	.800	6	9	15	5	2	1	1	1	32	29.5	+12
99	7	2012-05-15	ECS	MIA		IND	2	L (-3)	1	42:49	10	22	.455	0	4	.000	8	13	.615	4	5	9	5	6	0	2	0	28	26.4	-7
100	8	2012-05-17	ECS	MIA	@	IND	3	L (-19)	1	40:06	10	22	.455	1	4	.250	1	3	.333	1	6	7	3	2	0	4	1	22	12.0	-9
101	9	2012-05-20	ECS	MIA	@	IND	4	W (+8)	1	43:54	14	27	.519	0	0		12	16	.750	6	12	18	9	2	2	5	1	40	37.2	+4
102	10	2012-05-22	ECS	MIA		IND	5	W (+32)	1	38:09	12	19	.632	2	4	.500	4	4	1.000	3	7	10	8	1	1	4	1	30	28.6	+28
103	11	2012-05-24	ECS	MIA	@	IND	6	W (+12)	1	44:46	12	23	.522	0	3	.000	4	5	.800	1	5	6	7	3	0	1	1	28	25.0	+16
																														
104	12	2012-05-28	ECF	MIA		BOS	1	W (+14)	1	43:53	13	22	.591	0	3	.000	6	9	.667	1	12	13	3	1	3	3	2	32	26.3	+17
105	13	2012-05-30	ECF	MIA		BOS	2	W (+4)	1	47:39	7	20	.350	2	6	.333	18	24	.750	4	6	10	7	1	1	1	2	34	29.8	+10
106	14	2012-06-01	ECF	MIA	@	BOS	3	L (-10)	1	43:18	16	26	.615	1	4	.250	1	5	.200	0	8	8	5	2	2	3	4	34	25.3	-6
