Rk	G	2006 Playoffs	Series	Tm	Unnamed: 5	Opp	G#	Unnamed: 8	GS	MP	FG	FGA	FG%	3P	3PA	3P%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS	GmSc	+/-
193	15	2016-06-02	FIN	CLE	@	GSW	1	L (-15)	1	40:53	9	21	.429	2	4	.500	3	4	.750	4	8	12	9	2	1	4	2	23	20.9	-9
194	16	2016-06-05	FIN	CLE	@	GSW	2	L (-33)	1	33:38	7	17	.412	1	5	.200	4	4	1.000	0	8	8	9	4	1	7	3	19	15.1	-20
195	17	2016-06-08	FIN	CLE		GSW	3	W (+30)	1	40:04	14	26	.538	1	2	.500	3	5	.600	2	9	11	6	1	2	5	2	32	23.5	+24
196	18	2016-06-10	FIN	CLE		GSW	4	L (-11)	1	45:34	11	21	.524	1	5	.200	2	4	.500	4	9	13	9	2	3	7	4	25	21.2	-12
197	19	2016-06-13	FIN	CLE	@	GSW	5	W (+15)	1	42:38	16	30	.533	4	8	.500	5	8	.625	4	12	16	7	3	3	2	1	41	39.2	+13
198	20	2016-06-16	FIN	CLE		GSW	6	W (+14)	1	42:35	16	27	.593	3	6	.500	6	8	.750	2	6	8	11	4	3	1	3	41	42.5	+26
199	21	2016-06-19	FIN	CLE	@	GSW	7	W (+4)	1	46:49	9	24	.375	1	5	.200	8	10	.800	1	10	11	11	2	3	5	1	27	23.1	+4
Rk	G	2017 Playoffs	Series	Tm		Opp	G#		GS	MP	FG	FGA	FG%	3P	3PA	3P%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS	GmSc	+/-
200	1	2017-04-15	EC1	CLE		IND	1	W (+1)	1	42:44	12	20	.600	2	3	.667	6	9	.667	1	5	6	13	3	0	3	3	32	31.7	+5
201	2	2017-04-17	EC1	CLE		IND	2	W (+6)	1	42:16	11	20	.550	0	2	.000	3	6	.500	0	10	10	7	4	4	8	2	25	20.1	+6
202	3	2017-04-20	EC1	CLE	@	IND	3	W (+5)	1	45:13	14	27	.519	6	12	.500	7	14	.500	1	12	13	12	1	2	3	4	41	35.4	+13
203	4	2017-04-23	EC1	CLE	@	IND	4	W (+4)	1	44:44	13	25	.520	1	3	.333	6	9	.667	0	10	10	4	4	2	4	1	33	26.3	+4
																														
204	5	2017-05-01	ECS	CLE		TOR	1	W (+11)	1	41:02	13	23	.565	2	5	.400	7	8	.875	2	8	10	4	1	1	3	2	35	28.2	+16
205	6	2017-05-03	ECS	CLE		TOR	2	W (+22)	1	36:36	10	14	.714	4	6	.667	15	21	.714	1	5	6	4	3	2	3	3	39	36.0	+24
206	7	2017-05-05	ECS	CLE	@	TOR	3	W (+21)	1	40:38	9	16	.563	2	4	.500	15	16	.938	0	8	8	7	1	0	5	1	35	29.9	+20
207	8	2017-05-07	ECS	CLE	@	TOR	4	W (+7)	1	46:11	11	22	.500	5	12	.417	8	9	.889	1	8	9	6	0	1	6	1	35	25.2	+7
																														
208	9	2017-05-17	ECF	CLE	@	BOS	1	W (+13)	1	41:58	14	24	.583	1	6	.167	9	11	.818	2	7	9	7	2	0	2	2	38	33.6	+17
209	10	2017-05-19	ECF	CLE	@	BOS	2	W (+44)	1	32:48	12	18	.667	4	6	.667	2	4	.500	0	4	4	7	4	3	1	1	30	32.2	+46
210	11	2017-05-21	ECF	CLE		BOS	3	L (-3)	1	45:03	4	13	.308	0	4	.000	3	6	.500	1	5	6	6	1	1	6	2	11	3.6	+1
211	12	2017-05-23	ECF	CLE		BOS	4	W (+13)	1	38:16	15	27	.556	1	6	.167	3	4	.750	0	5	5	6	1	1	5	4	34	21.5	+7
212	13	2017-05-25	ECF	CLE	@	BOS	5	W (+33)	1	34:44	13	18	.722	4	7	.571	5	8	.625	1	7	8	8	3	1	2	4	35	34.9	+36
																														
213	14	2017-06-01	FIN	CLE	@	GSW	1	L (-22)	1	40:02	9	20	.450	2	6	.333	8	12	.667	3	12	15	8	0	2	8	4	28	19.1	-22
214	15	2017-06-04	FIN	CLE	@	GSW	2	L (-19)	1	39:22	12	18	.667	1	3	.333	4	5	.800	0	11	11	14	3	1	4	2	29	32.8	-11
215	16	2017-06-07	FIN	CLE		GSW	3	L (-5)	1	45:37	15	27	.556	4	9	.444	5	6	.833	3	8	11	9	1	1	5	2	39	32.4	+7
216	17	2017-06-09	FIN	CLE		GSW	4	W (+21)	1	40:46	11	22	.500	3	8	.375	6	10	.600	1	9	10	11	1	0	2	2	31	27.7	+32
217	18	2017-06-12	FIN	CLE	@	GSW	5	L (-9)	1	46:13	19	30	.633	2	5	.400	1	4	.250	2	11	13	8	2	1	2	3	41	36.2	-13
Rk	G	2018 Playoffs	Series	Tm		Opp	G#		GS	MP	FG	FGA	FG%	3P	3PA	3P%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS	GmSc	+/-
218	1	2018-04-15	EC1	CLE		IND	1	L (-18)	1	43:56	7	17	.412	0	4	.000	10	14	.714	3	7	10	12	1	1	3	2	24	23.8	-13
219	2	2018-04-18	EC1	CLE		IND	2	W (+3)	1	39:53	17	24	.708	2	5	.400	10	13	.769	1	11	12	5	2	0	3	1	46	40.9	+7
220	3	2018-04-20	EC1	CLE	@	IND	3	L (-2)	1	41:41	10	22	.455	4	7	.571	4	6	.667	3	9	12	8	1	1	6	1	28	21.5	-1
221	4	2018-04-22	EC1	CLE	@	IND	4	W (+4)	1	46:09	12	22	.545	0	5	.000	8	9	.889	2	11	13	7	0	2	1	3	32	29.8	+3
222	5	2018-04-25	EC1	CLE		IND	5	W (+3)	1	41:49	14	24	.583	1	4	.250	15	15	1.000	3	7	10	8	1	1	5	3	44	38.1	+2
223	6	2018-04-27	EC1	CLE	@	IND	6	L (-34)	1	31:11	7	16	.438	3	6	.500	5	5	1.000	0	5	5	7	1	2	4	3	22	17.2	-24
224	7	2018-04-29	EC1	CLE		IND	7	W (+4)	1	43:25	16	25	.640	2	3	.667	11	15	.733	2	6	8	7	4	0	4	4	45	38.8	-2
																														
225	8	2018-05-01	ECS	CLE	@	TOR	1	W (+1)	1	46:56	12	30	.400	1	8	.125	1	6	.167	0	11	11	13	1	2	1	2	26	20.8	+5
226	9	2018-05-03	ECS	CLE	@	TOR	2	W (+18)	1	40:30	19	28	.679	1	3	.333	4	8	.500	1	7	8	14	1	0	1	1	43	41.6	+20
227	10	2018-05-05	ECS	CLE		TOR	3	W (+2)	1	41:16	14	26	.538	1	4	.250	9	11	.818	1	5	6	7	3	1	4	1	38	31.0	+2
228	11	2018-05-07	ECS	CLE		TOR	4	W (+35)	1	38:24	12	19	.632	0	3	.000	5	8	.625	0	8	8	11	2	1	2	2	29	29.3	+28
																														
229	12	2018-05-13	ECF	CLE	@	BOS	1	L (-25)	1	36:07	5	16	.313	0	5	.000	5	6	.833	0	7	7	9	0	2	7	1	15	7.8	-32
230	13	2018-05-15	ECF	CLE	@	BOS	2	L (-13)	1	38:46	16	29	.552	5	11	.455	5	10	.500	1	9	10	12	0	1	6	3	42	31.4	-9
231	14	2018-05-19	ECF	CLE		BOS	3	W (+30)	1	37:30	8	12	.667	3	3	1.000	8	10	.800	1	4	5	12	2	2	3	3	27	30.5	+31
232	15	2018-05-21	ECF	CLE		BOS	4	W (+9)	1	41:53	17	28	.607	1	4	.250	9	13	.692	1	4	5	3	2	0	7	3	44	27.4	+9
233	16	2018-05-23	ECF	CLE	@	BOS	5	L (-13)	1	39:16	11	22	.500	1	6	.167	3	4	.750	0	10	10	5	1	0	6	2	26	15.3	-11
234	17	2018-05-25	ECF	CLE		BOS	6	W (+10)	1	46:06	17	33	.515	5	7	.714	7	11	.636	3	8	11	9	3	1	3	2	46	38.8	+15
235	18	2018-05-27	ECF	CLE	@	BOS	7	W (+8)	1	48:00	12	24	.500	3	8	.375	8	11	.727	0	15	15	9	0	2	8	4	35	24.4	+8
																														
236	19	2018-05-31	FIN	CLE	@	GSW	1	L (-10)	1	47:32	19	32	.594	3	7	.429	10	11	.909	4	4	8	8	1	1	5	2	51	41.3	-13
237	20	2018-06-03	FIN	CLE	@	GSW	2	L (-19)	1	43:51	10	20	.500	2	4	.500	7	9	.778	1	8	9	13	2	0	5	2	29	26.6	-18
238	21	2018-06-06	FIN	CLE		GSW	3	L (-8)	1	46:52	13	28	.464	1	6	.167	6	7	.857	3	7	10	11	2	2	4	2	33	28.7	-8
239	22	2018-06-08	FIN	CLE		GSW	4	L (-23)	1	40:34	7	13	.538	0	1	.000	9	11	.818	1	6	7	8	0	1	6	5	23	16.7	-21
Rk	G	2020 Playoffs	Series	Tm		Opp	G#		GS	MP	FG	FGA	FG%	3P	3PA	3P%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS	GmSc	+/-
240	1	2020-08-18	WC1	LAL		POR	1	L (-7)	1	41:03	9	20	.450	1	5	.200	4	7	.571	2	15	17	16	1	0	4	1	23	25.1	-3
241	2	2020-08-20	WC1	LAL		POR	2	W (+23)	1	26:41	4	11	.364	0	3	.000	2	2	1.000	0	6	6	7	2	0	6	1	10	6.2	+23
242	3	2020-08-22	WC1	LAL	@	POR	3	W (+8)	1	34:29	11	18	.611	4	8	.500	12	17	.706	1	11	12	8	2	0	8	3	38	30.2	+2
243	4	2020-08-24	WC1	LAL	@	POR	4	W (+20)	1	28:18	10	12	.833	4	5	.800	6	8	.750	1	5	6	10	0	1	2	2	30	31.9	+17
244	5	2020-08-29	WC1	LAL		POR	5	W (+9)	1	33:52	14	19	.737	4	7	.571	4	4	1.000	0	10	10	10	1	1	5	1	36	34.6	+20
																														
245	6	2020-09-04	WCS	LAL		HOU	1	L (-15)	1	36:34	7	15	.467	2	7	.286	4	5	.800	1	7	8	7	0	2	4	2	20	16.2	-15
246	7	2020-09-06	WCS	LAL		HOU	2	W (+8)	1	39:16	10	17	.588	1	5	.200	7	10	.700	0	11	11	9	4	2	7	3	28	25.7	+15
247	8	2020-09-08	WCS	LAL	@	HOU	3	W (+10)	1	37:31	13	23	.565	4	9	.444	6	10	.600	0	7	7	5	1	4	2	1	36	30.5	+8
248	9	2020-09-10	WCS	LAL	@	HOU	4	W (+10)	1	33:45	7	17	.412	0	5	.000	2	3	.667	1	14	15	9	3	0	4	2	16	15.9	+15
249	10	2020-09-12	WCS	LAL		HOU	5	W (+23)	1	30:48	9	18	.500	3	8	.375	8	10	.800	2	9	11	7	2	1	4	2	29	26.1	+19
																														
250	11	2020-09-18	WCF	LAL		DEN	1	W (+12)	1	30:54	6	11	.545	0	2	.000	3	4	.750	1	5	6	12	0	0	3	2	15	16.1	+15
251	12	2020-09-20	WCF	LAL		DEN	2	W (+2)	1	36:25	10	20	.500	3	8	.375	3	4	.750	2	9	11	4	0	2	6	2	26	17.1	-9
252	13	2020-09-22	WCF	LAL	@	DEN	3	L (-8)	1	37:15	14	23	.609	1	4	.250	1	2	.500	1	9	10	11	2	2	6	1	30	27.2	+2
253	14	2020-09-24	WCF	LAL	@	DEN	4	W (+6)	1	38:21	7	18	.389	1	3	.333	11	14	.786	1	8	9	8	0	0	0	2	26	22.9	+8
254	15	2020-09-26	WCF	LAL		DEN	5	W (+10)	1	40:01	15	25	.600	1	4	.250	7	8	.875	3	13	16	10	1	0	2	2	38	37.3	+12
																														
255	16	2020-09-30	FIN	LAL		MIA	1	W (+18)	1	36:24	9	17	.529	2	4	.500	5	6	.833	1	12	13	9	1	0	2	3	25	24.7	+10
256	17	2020-10-02	FIN	LAL		MIA	2	W (+10)	1	39:09	14	25	.560	3	8	.375	2	5	.400	2	7	9	9	1	1	0	2	33	30.6	+7
257	18	2020-10-04	FIN	LAL	@	MIA	3	L (-11)	1	39:13	9	16	.563	1	5	.200	6	9	.667	1	9	10	8	0	2	8	2	25	17.8	-4
258	19	2020-10-06	FIN	LAL	@	MIA	4	W (+6)	1	38:38	8	16	.500	2	5	.400	10	12	.833	2	10	12	8	1	0	6	2	28	23.4	-2
259	20	2020-10-09	FIN	LAL		MIA	5	L (-3)	1	41:51	15	21	.714	6	9	.667	4	6	.667	3	10	13	7	3	0	4	1	40	39.1	+7
260	21	2020-10-11	FIN	LAL	@	MIA	6	W (+13)	1	41:13	13	20	.650	1	5	.200	1	4	.250	3	11	14	10	1	0	1	3	28	29.2	+18
